,Bayonetta,Bowser,Bowser Jr.,Captain Falcon,Chrom,Cloud,Corrin,Daisy,Dark Pit,Dark Samus,Diddy Kong,Donkey Kong,Dr. Mario,Duck Hunt,Falco,Fox,Ganondorf,Greninja,Ice Climbers,Ike,Incineroar,Inkling,Isabelle,Jigglypuff,Ken,King Dedede,King K. Rool,Kirby,Link,Little Mac,Lucario,Lucas,Lucina,Luigi,Mario,Marth,Mega Man,Meta Knight,Mewtwo,Mii Brawler,Mii Gunner,Mii Swordfighter,Mr. Game and Watch,Ness,Olimar,Pac Man,Palutena,Peach,Pichu,Pikachu,Piranha Plant,Pit,Pokemon Trainer,R.O.B.,Richter,Ridley,Robin,Rosalina,Roy,Ryu,Samus,Sheik,Shulk,Simon,Snake,Sonic,Toon Link,Villager,Wario,Wii Fit Trainer,Wolf,Yoshi,Young Link,Zelda,Zero Suit Samus
Bayonetta,MM,0.077,1,1,0.5,0.087,-,0,1,0.6,0.667,0.429,-,-1,-0.333,0,0,0.077,-,0,-0.333,-0.091,-1,0.5,1,-0.429,-0.714,0.2,-0.111,-0.2,-1,-0.2,0.455,-0.4,-1,1,-,0.5,-0.2,-,-1,1,-0.143,0.143,-1,1,-0.333,0.143,0.231,0.091,-,1,0.053,-0.333,0,-0.286,-1,-,0,-,1,-,0.2,-0.143,-0.842,0.667,0.333,-,0,-,-0.333,-0.714,-0.5,-1,-0.75
Bowser,-0.077,MM,0.2,0.308,0.263,0.018,0.286,0.556,0.286,0.75,-0.273,0.113,-0.161,-0.091,0.091,-0.116,0.047,0.348,0.143,0.423,0.371,0.038,-0.238,0.14,0.333,-0.056,-0.118,0.538,0.103,0.12,0.333,0.097,0.162,-0.086,0.265,-0.231,-0.135,-0.231,1,0.056,-1,0,-0.4,0.021,0.556,-0.308,0.163,-0.138,-0.125,-0.417,0,0.474,0.283,0.289,-0.167,-0.2,0.286,-0.273,0.196,1,0.109,-,-0.128,-0.125,0.053,0.308,0.455,-0.417,0,-0.2,0.171,0.146,0.347,-0.143,-0.051
Bowser Jr.,-1,-0.2,MM,-0.6,0.333,-0.333,0.143,-,1,-0.667,-1,0.5,0,-1,0.6,0,-0.059,-0.5,-,0,0.333,-0.1,-0.333,-1,1,0.2,0.778,0,-0.4,0,0,-,0.059,1,-0.111,-1,1,-1,1,-1,-,-,-1,0.467,-1,1,0.111,-0.111,0.143,0,-0.5,0.2,0.077,0,0,0.2,0.333,0,-0.143,0,1,-1,-,-,-0.286,-0.2,-0.143,-0.333,-,-,-0.053,0.111,0.455,0.143,-0.5
Captain Falcon,-1,-0.308,0.6,MM,0.1,0.2,-0.2,1,0.667,-0.333,-0.667,-0.053,-0.25,0.333,0.5,0.312,-0.237,-0.143,0,0.067,0,0.125,0.111,-0.091,0.167,0.2,0.067,-0.125,0.043,0,0,0.6,0.175,-0.154,-0.409,0.2,-0.5,-0.5,1,-1,0.429,-0.2,0.231,-0.333,0.2,0.333,-0.056,-0.25,0.097,-0.6,0.091,1,-0.486,-0.312,-0.2,-0.5,0.333,-1,0.036,-0.5,0,0,-0.5,0.333,-0.595,-0.333,-0.143,-0.25,-0.167,-0.333,-0.027,-0.185,0.615,0,-0.091
Chrom,-0.5,-0.263,-0.333,-0.1,MM,-0.111,0,-0.444,0,0.312,0,0,-2,-1,1,0.091,-0.15,0.2,0,0.154,0.1,-0.312,0.333,-0.091,-,-0.111,0.133,1,-0.28,-0.75,0,0,-0.359,0,-0.714,-,0.5,1,-0.222,-,1,-0.333,-0.333,0.111,0.333,0,0.034,-0.2,0.282,-0.167,-0.111,0.571,0.105,-0.25,-0.667,-0.375,0,0.714,0.158,-0.333,0.273,-1,0.091,-0.6,-0.292,-0.294,-0.778,-0.5,0.333,0,0.08,-0.417,0.214,-0.353,0
Cloud,-0.087,-0.018,0.333,-0.2,0.111,MM,0.4,0.111,0,0.182,0.714,-0.3,-0.2,-0.222,0.571,0.227,-0.146,-0.061,-0.2,-0.269,0,-0.324,0.231,-0.143,0.143,-0.197,0.129,0.091,0.039,-0.267,0.071,-0.24,0,-0.143,0.323,0.182,-0.025,-0.5,0.667,0.333,0.167,0.25,0.053,0.04,0.25,-0.478,0.038,-0.355,0.283,-0.2,0.179,-0.5,-0.098,-0.216,-0.048,-0.154,0.286,0.2,-0.268,1,-0.105,0.75,-0.135,-0.222,-0.543,0.12,0.067,-0.143,0.143,0.286,-0.169,0.085,-0.179,0.212,0
Corrin,-,-0.286,-0.143,0.2,0,-0.4,MM,-1,-,-,0.286,-0.75,-,1,-,-1.333,-0.167,-,1,-0.333,-,-0.2,1,-0.714,-,-1,-0.5,0.5,-0.2,-1,-1,0,-0.19,-1,-1,-0.333,0.2,-0.5,-,-,-0.333,0,1,-0.6,-,-0.429,-0.5,-0.6,0,-0.5,-1,0.333,-0.579,-0.125,-1,-0.6,-1,-,-0.286,-,0.375,0.2,0,-,0,-0.667,-0.5,-1,-1,-,-0.571,0,-0.333,-0.556,-1
Daisy,0,-0.556,-,-1,0.444,-0.111,1,MM,0.333,-1,-,-0.1,0.125,0,-,0.182,-0.091,0.222,0.333,-0.111,0.333,0.261,0.333,1,-,0.545,1,1,-0.167,0.143,0.333,1,0.143,0.333,-0.5,-1,-0.25,-,-,-1,-0.333,-,-,-0.087,1,-1,0.333,0.2,0.308,0.333,0.4,-0.333,-0.333,0.4,0,0.429,1,-,0.25,0.25,0,-,-1,1,-0.391,-0.6,-1,-0.5,-0.333,1,0.44,0,-1,-0.8,0.2
Dark Pit,-1,-0.286,-1,-0.667,0,0,-,-0.333,MM,-,-1,-0.143,-1,0,0,-0.2,-0.32,-0.5,1,0.222,-0.25,-0.474,1,-1,-,0.167,0.333,0.6,0.259,0,0.333,0.091,0.355,-1,1,0.6,-0.6,-0.333,1,-1,-,0.333,-0.333,-0.231,-0.333,0,0.387,0,-0.733,0.4,0.333,-1,-0.048,0.143,1,-0.444,0,-1,0.4,0.333,-0.857,-,0.167,-,-0.538,-0.333,-0.111,0.75,1.167,1,0.231,-0.238,0,0.75,0
Dark Samus,-0.6,-0.75,0.667,0.333,-0.312,-0.182,-,1,-,MM,-1,-0.263,-,0.143,1,-0.778,-0.13,0.75,-,-0.111,0.6,-0.577,0,1,1,-0.6,-0.118,1,0.069,0,0.333,0.2,0.04,-0.8,-0.6,1,0.25,-0.143,-0.2,1,0,-0.167,-0.429,0.13,-0.6,-0.091,-0.25,-0.3,0.067,0.417,-1,0,0.25,0.067,0,-0.556,-0.5,0.333,0.474,0,-0.333,-,-0.143,0.2,-0.2,0.6,0.091,0.333,1,-0.333,-0.161,0.55,0.5,-0.429,-1
Diddy Kong,-0.667,0.273,1,0.667,0,-0.714,-0.286,-,1,1,MM,0,-,-1,-,-0.143,-0.2,0.333,-,0.333,0.333,0,0,-0.143,-0.333,-,1,-,-0.429,-0.333,-,-0.333,0.467,-0.333,-1,1,-1,-1,-,-,0,-1,0.2,-1,0,-,-0.667,-1,-0.667,1,-0.5,-0.2,-0.25,0.5,0,-1,-0.2,-,0.333,-,1,-,-1,-,0.2,0.333,-,-1,-1,1,0,-0.2,1,-1,-1
Donkey Kong,-0.429,-0.113,-0.5,0.053,0,0.3,0.75,0.1,0.143,0.263,0,MM,0.5,0,0.13,-0.25,0.219,0.059,0.333,-0.038,0.368,-0.141,-0.077,0.31,0,-0.026,0.257,0.385,0.244,0.091,0.4,-0.027,0.096,-0.154,0.103,0.75,-0.158,0.412,0.286,-1,-0.091,0.294,0,-0.081,0.429,0.174,0.128,-0.182,-0.067,0,0.433,0,0.03,0.029,0,-0.065,0.125,-1,0.058,0.333,0.174,0.6,-0.1,0.444,-0.153,-0.091,0.2,-0.222,0.412,0.357,0.344,0.087,0.345,-0.308,-0.579
Dr. Mario,-,0.161,0,0.25,2,0.2,-,-0.125,1,-,-,-0.5,MM,-,0,0.2,-0.062,0.333,1,0.538,0.143,0.161,0.333,0.167,-,0.8,0.214,0,0.182,1,0.75,-0.2,0.174,0.75,0.455,0,1,0.294,-,0.333,0.5,0.5,0.4,0.6,-0.5,0.143,0.2,0.154,-0.158,1,-0.333,0.6,0.179,-0.409,-0.333,0.059,0,0.2,-0.273,-,0.5,1,-0.667,-0.333,-0.429,0.5,0.375,1.167,0.636,0.556,0.187,0.071,0.3,0.476,-0.412
Duck Hunt,1,0.091,1,-0.333,1,0.222,-1,0,0,-0.143,1,0,-,MM,0.5,-0.667,0.6,-0.111,0.5,0.333,-0.5,-0.8,-,0.6,-,0,-0.5,-1,-0.059,-1,-,1,1,0,0.333,1,-,-1,0,-,-1,-0.714,1,0.273,0.667,-,-0.636,-1,0.556,-0.067,-0.143,-1,-0.6,-1,-,0.333,-,-,-0.2,-,0.25,-,-,-1,0,0.667,0,-0.5,-,-1,0.062,-0.429,0.2,-,0
Falco,0.333,-0.091,-0.6,-0.5,-1,-0.571,-,-,0,-1,-,-0.13,0,-0.5,MM,-0.636,-0.778,0.05,-0.333,-0.125,0.222,-0.412,-0.111,0,1,-0.3,-0.2,1,-0.2,0.1,0,-0.529,-0.048,-0.2,-0.4,-0.333,0,-1,1,-,1,0,-0.714,-0.3,-1,-0.5,-0.667,-0.556,-0.476,0.111,-0.429,-0.429,-0.067,-0.227,-0.909,-0.6,0,-,-0.143,1,0.067,-,0.2,0.5,0.182,0.2,-0.5,0.25,0,0.333,-0.308,-0.269,-0.778,-0.455,-
Fox,0,0.116,0,-0.312,-0.091,-0.227,1.333,-0.182,0.2,0.778,0.143,0.25,-0.2,0.667,0.636,MM,-0.118,0.412,-1,0,-0.8,-0.173,-0.286,-0.5,-0.429,-0.167,-0.167,-0.143,-0.422,0.167,-0.25,-0.111,0.083,-0.375,-0.037,0,-0.043,-0.222,0.2,-0.2,0,0.5,0.833,-0.471,-0.083,-0.286,-0.286,0.222,-0.065,-0.111,0.533,0.667,0.129,-0.036,-0.529,0.053,0.208,-,-0.25,-0.5,0.05,1,-0.263,-0.2,-0.184,0.167,-0.333,1,-0.333,0.25,-0.09,-0.098,0.225,0.1,-0.368
Ganondorf,0,-0.047,0.059,0.237,0.15,0.146,0.167,0.091,0.32,0.13,0.2,-0.219,0.062,-0.6,0.778,0.118,MM,0,0.385,0.037,0.189,-0.219,0.474,-0.161,0.5,-0.266,0.053,-0.2,-0.052,0.138,0.176,-0.143,0.096,0.154,0.067,0.273,-0.211,-0.182,0.5,1,-1,0,-0.182,-0.365,-1.083,-0.212,0.032,-0.029,0.05,-0.286,0.269,0.091,-0.081,-0.171,-0.3,-0.208,0.091,-0.143,-0.024,-0.333,-0.381,0.333,0.036,0.077,-0.192,0,-0.25,-0.4,-0.2,0.455,-0.01,-0.396,0.036,-0.211,-0.062
Greninja,-0.077,-0.348,0.5,0.143,-0.2,0.061,-,-0.222,0.5,-0.75,-0.333,-0.059,-0.333,0.111,-0.05,-0.412,0,MM,-1,0.176,-0.143,-0.372,0.111,0,0,0,0.111,0.111,-0.037,0,0.667,-0.167,0.477,-0.25,0.389,-0.429,0.2,-0.111,0.5,-0.667,0,0.308,-0.455,-0.3,0.647,-0.8,0.133,-0.206,0,0.6,0.333,-0.5,-0.212,-0.36,-0.273,-0.182,-0.25,1,0.212,-,0.28,0.5,-0.143,0,-0.381,-0.4,0,0.111,-0.385,0.333,-0.081,0.179,0.143,-0.304,0.429
Ice Climbers,-,-0.143,-,0,0,0.2,-1,-0.333,-1,-,-,-0.333,-1,-0.5,0.333,1,-0.385,1,MM,0,-1,-0.667,0,-,-,-1,-1,-1,0.167,1,-,-,-0.556,-1,1,1,-0.714,0.333,-,-,-1,-,-1,-1,-0.333,-1,0.429,0,-0.143,1,0,-0.5,0.2,-1,-1,0,1,-,0.5,-1,-0.6,-0.333,-0.667,-0.5,1,-0.333,-1,-,0.5,-1,-0.375,-0.5,-1,-1,-1
Ike,0,-0.423,0,-0.067,-0.154,0.269,0.333,0.111,-0.222,0.111,-0.333,0.038,-0.538,-0.333,0.125,0,-0.037,-0.176,0,MM,0.588,-0.095,0.167,-0.333,1,-0.164,-0.36,-0.103,0.143,0.143,0.143,-0.2,0.071,-0.154,0.348,0,0.2,-0.75,0.111,0.429,0,-0.273,0,0,-0.077,-0.2,-0.038,-0.194,0.1,0.583,-0.235,0,-0.235,-0.083,-0.28,-0.208,0.556,-0.2,0,0,-0.083,1,-0.2,-0.667,-0.163,-0.517,-0.032,-0.625,0.091,0.316,-0.141,-0.074,-0.154,-0.02,-0.278
Incineroar,0.333,-0.371,-0.333,0,-0.1,0,-,-0.333,0.25,-0.6,-0.333,-0.368,-0.143,0.5,-0.222,0.8,-0.189,0.143,1,-0.588,MM,-0.225,-0.5,0.545,0.273,0,0.167,0.167,-0.034,0,0.333,0.667,0.059,0.333,0,0.333,-1,0.333,-1,1,-0.429,-0.25,0.2,-0.053,0.273,-1,-0.115,-0.333,0.432,-0.04,0.294,0.25,0.133,-0.368,-0.556,-0.167,-0.75,-1,0,1,-0.5,0.5,-0.143,-,-0.217,-0.222,-0.077,0.25,-0.111,0,-0.102,-0.187,-0.375,0,-0.071
Inkling,0.091,-0.038,0.1,-0.125,0.312,0.324,0.2,-0.261,0.474,0.577,0,0.141,-0.161,0.8,0.412,0.173,0.219,0.372,0.667,0.095,0.225,MM,-0.111,-0.138,0.333,-0.229,0.111,0.294,0.299,-0.133,0.444,0.127,0.32,-0.263,0.1,0.7,0.217,-0.2,0.4,0.455,0.222,0.08,-0.368,0,-0.382,0,0.033,0.079,0.118,0.018,0.394,0.043,-0.037,-0.298,-0.151,0.018,0.125,0,0.266,0,0.125,0.6,-0.122,-0.176,-0.176,0.292,0.085,-0.357,0.182,0.167,0.115,-0.252,0.079,-0.091,-0.29
Isabelle,1,0.238,0.333,-0.111,-0.333,-0.231,-1,-0.333,-1,0,0,0.077,-0.333,-,0.111,0.286,-0.474,-0.111,0,-0.167,0.5,0.111,MM,1,-,-0.231,-0.231,1,-0.222,-1,-,0,0.467,-0.333,0.333,1,-0.714,-1,-1,0.25,-1,-0.6,0,-0.167,0.333,-1,0.2,0.231,-0.4,-0.5,0.294,0.5,0.034,-0.467,-0.667,-0.286,-0.333,-1,-0.222,1,-0.5,-,-0.5,0,-0.385,0.375,0,-0.176,0.333,0.143,-0.385,-0.368,0.2,-0.778,0.333
Jigglypuff,-0.5,-0.14,1,0.091,0.091,0.143,0.714,-1,1,-1,0.143,-0.31,-0.167,-0.6,0,0.5,0.161,0,-,0.333,-0.545,0.138,-1,MM,1.5,-0.294,-0.167,0.4,-0.259,-0.154,-0.2,-0.538,-0.135,-0.3,0.167,0,-0.455,-1,-0.333,1,0.333,-0.6,0,0,0,0.111,-0.1,-0.8,-0.043,-1,0,0,-0.064,-0.286,-0.5,0.6,0.333,-,-0.45,1,-1,0.6,-0.429,1,-0.647,-0.714,-0.6,-0.385,0.2,0.429,-0.152,-0.481,0.364,-0.4,-0.4
Ken,-1,-0.333,-1,-0.167,-,-0.143,-,-,-,-1,0.333,0,-,-,-1,0.429,-0.5,0,-,-1,-0.273,-0.333,-,-1.5,MM,-0.143,-,1,-0.636,-,-,0.143,0,-0.667,-,-,-1,-,-1,-,-1,-1,-1,-1,-1,-1,-0.111,-,0,0.333,1,-,0.333,-0.778,-0.6,-1,1,0.333,-0.5,-,0,-,-1,-,-0.333,-0.429,-,-,-0.6,-1,0.25,0,0.667,-1,-1
King Dedede,0.429,0.056,-0.2,-0.2,0.111,0.197,1,-0.545,-0.167,0.6,-,0.026,-0.8,0,0.3,0.167,0.266,0,1,0.164,0,0.229,0.231,0.294,0.143,MM,0.143,0.833,-0.185,-0.308,1,0.023,0.15,0,0.143,0.429,-0.429,0.143,0.5,1,0.091,-0.111,-0.176,0.036,-0.111,-0.538,-0.179,-0.023,-0.024,-0.2,0.2,0.714,-0.063,0.029,-0.176,0.375,1,0.143,0.133,0.111,0.226,-,0.5,0,-0.231,0.31,-0.333,0.1,0,0.091,0.228,0.06,0.37,-0.5,-0.2
King K. Rool,0.714,0.118,-0.778,-0.067,-0.133,-0.129,0.5,-1,-0.333,0.118,-1,-0.257,-0.214,0.5,0.2,0.167,-0.053,-0.111,1,0.36,-0.167,-0.111,0.231,0.167,-,-0.143,MM,0.2,-0.241,0.333,0.273,-0.222,0.167,-0.214,0.167,-1,0,-0.765,0.2,-0.2,-1,-0.111,-0.333,-0.175,0.556,0.2,0.263,-0.538,-0.147,-0.5,-0.667,-1,0.22,-0.318,0.2,1,0.6,-0.5,0.042,-,0,1,-0.1,-1,-0.093,0.231,-0.273,-0.5,1,-0.143,-0.261,-0.282,0.167,-0.333,0.2
Kirby,-0.2,-0.538,0,0.125,-1,-0.091,-0.5,-1,-0.6,-1,-,-0.385,0,1,-1,0.143,0.2,-0.111,1,0.103,-0.167,-0.294,-1,-0.4,-1,-0.833,-0.2,MM,-0.5,0.5,0.5,0,0.25,-0.2,-1,0,-1,-1,0.6,1,-,0.6,-0.857,-0.294,-0.333,-1,0,-0.2,-0.077,0.714,-0.75,-1,-0.172,0,-1,0.273,-1,1,-0.636,1,0.273,0.333,-0.333,-1,-0.385,0,-1,-0.2,-,-0.667,0,-0.25,-0.333,0,-
Link,0.111,-0.103,0.4,-0.043,0.28,-0.039,0.2,0.167,-0.259,-0.069,0.429,-0.244,-0.182,0.059,0.2,0.422,0.052,0.037,-0.167,-0.143,0.034,-0.299,0.222,0.259,0.636,0.185,0.241,0.5,MM,0.231,-0.062,0.13,0.044,0.185,0.111,0.357,0.077,0.25,0.5,-0.111,0.2,0.087,0.103,0.046,0.2,-0.385,-0.423,-0.121,-0.09,-0.071,-0.12,0,0.158,0.045,-0.242,0.137,-0.556,0.091,0.136,0,-0.25,1,-0.081,-0.333,-0.338,-0.1,0.118,0.263,-0.125,0.333,-0.266,0.171,0.231,-0.25,-0.053
Little Mac,0.2,-0.12,0,0,0.75,0.267,1,-0.143,0,0,0.333,-0.091,-1,1,-0.1,-0.167,-0.138,0,-1,-0.143,0,0.133,1,0.154,-,0.308,-0.333,-0.5,-0.231,MM,0,0.143,-0.089,-0.143,0,-1,-0.667,0.2,0.5,1,-0.6,0.2,-0.429,0.241,1,0,0.167,0.333,-0.222,0.5,0,1,0.116,0.294,-0.2,0.143,1,0.333,0,-0.5,0.176,-,-0.667,-0.2,-0.088,0.429,-0.143,-0.667,-0.273,0.333,0.419,0.143,-0.217,-0.3,-1
Lucario,1,-0.333,0,0,0,-0.071,1,-0.333,-0.333,-0.333,-,-0.4,-0.75,-,0,0.25,-0.176,-0.667,-,-0.143,-0.333,-0.444,-,0.2,-,-1,-0.273,-0.5,0.062,0,MM,-0.333,-0.2,-,-0.333,-1,-,0,-0.375,-,-,-0.5,1.25,-0.444,-,0.167,-0.667,0.333,-0.25,-0.333,-0.2,-0.143,0.111,-0.667,-0.429,-0.091,-,-1,0.15,-,-1.667,-1,-0.556,1,0.111,0,-0.714,0,-1,0.333,-0.143,0.417,-0.333,-1,1.667
Lucas,0.2,-0.097,-,-0.6,0,0.24,0,-1,-0.091,-0.2,0.333,0.027,0.2,-1,0.529,0.111,0.143,0.167,-,0.2,-0.667,-0.127,0,0.538,-0.143,-0.023,0.222,0,-0.13,-0.143,0.333,MM,0.222,0.2,-0.13,0,-0.182,-0.455,0.5,0,-0.5,0.714,0.286,-0.101,-0.333,-0.25,0.231,0,-0.263,0.043,0.059,-0.083,-0.068,0.115,-0.333,-0.214,0,0.667,0.043,-,-0.35,1,0.238,-0.6,-0.265,-0.235,0.25,0.524,0.9,0,0.132,0.122,-0.176,-0.2,-0.538
Lucina,-0.455,-0.162,-0.059,-0.175,0.359,0,0.19,-0.143,-0.355,-0.04,-0.467,-0.096,-0.174,-1,0.048,-0.083,-0.096,-0.477,0.556,-0.071,-0.059,-0.32,-0.467,0.135,0,-0.15,-0.167,-0.25,-0.044,0.089,0.2,-0.222,MM,-0.238,-0.042,0.187,-0.406,-0.302,-0.154,0.667,-0.6,-0.136,-0.286,-0.042,0.054,0.069,0,-0.356,0.095,-0.373,-0.302,-0.263,-0.203,-0.154,-0.444,-0.511,0.321,0.2,-0.067,1,-0.022,-1,0.258,-0.333,-0.303,-0.294,0.081,0.111,-0.125,0.158,-0.352,-0.144,-0.159,-0.347,-0.471
Luigi,0.4,0.086,-1,0.154,0,0.143,1,-0.333,1,0.8,0.333,0.154,-0.75,0,0.2,0.375,-0.154,0.25,1,0.154,-0.333,0.263,0.333,0.3,0.667,0,0.214,0.2,-0.185,0.143,-,-0.2,0.238,MM,0.6,1,-0.429,0,0,-,-0.667,-0.333,0.5,0.103,1,-1,-0.455,0.143,0.231,0,1,1,-0.176,-0.077,-0.077,0.538,-1,1,0.308,-,-0.077,1,-0.286,0.5,-0.294,-0.077,-0.333,0,0.5,-,-0.034,0.227,-0.125,0.185,-0.333
Mario,1,-0.265,0.111,0.409,0.714,-0.323,1,0.5,-1,0.6,1,-0.103,-0.455,-0.333,0.4,0.037,-0.067,-0.389,-1,-0.348,0,-0.1,-0.333,-0.167,-,-0.143,-0.167,1,-0.111,0,0.333,0.13,0.042,-0.6,MM,0.231,-0.167,-0.143,0.875,-0.429,-1,0.111,-0.25,-0.086,0.095,-0.8,-0.406,0,-0.22,0,0.333,-0.333,-0.106,0.067,-0.2,-0.636,0.125,0.714,-0.25,-0.333,-0.125,1,0.176,-0.167,-0.059,-0.231,0.294,0,-0.5,0.6,-0.048,-0.088,0.2,-0.538,0
Marth,-1,0.231,1,-0.2,-,-0.182,0.333,1,-0.6,-1,-1,-0.75,0,-1,0.333,0,-0.273,0.429,-1,0,-0.333,-0.7,-1,0,-,-0.429,1,0,-0.357,1,1,0,-0.187,-1,-0.231,MM,-0.333,-0.375,-0.25,-1,-,1.333,-0.625,-0.6,-1,-1,-0.25,-1,-0.105,-0.667,0,0.167,-0.263,-0.6,-0.6,-0.444,1,1,-0.143,-,-0.4,1,-0.5,1,-0.389,0.143,-0.143,-0.2,-0.429,-1,-0.409,0.067,0,0.143,0
