,Bayonetta,Bowser,Bowser Jr.,Captain Falcon,Chrom,Cloud,Corrin,Daisy,Dark Pit,Dark Samus,Diddy Kong,Donkey Kong,Dr. Mario,Duck Hunt,Falco,Fox,Ganondorf,Greninja,Ice Climbers,Ike,Incineroar,Inkling,Isabelle,Jigglypuff,Ken,King Dedede,King K. Rool,Kirby,Link,Little Mac,Lucario,Lucas,Lucina,Luigi,Mario,Marth,Mega Man,Meta Knight,Mewtwo,Mii Brawler,Mii Gunner,Mii Swordfighter,Mr. Game and Watch,Ness,Olimar,Pac Man,Palutena,Peach,Pichu,Pikachu,Piranha Plant,Pit,Pokemon Trainer,R.O.B.,Richter,Ridley,Robin,Rosalina,Roy,Ryu,Samus,Sheik,Shulk,Simon,Snake,Sonic,Toon Link,Villager,Wario,Wii Fit Trainer,Wolf,Yoshi,Young Link,Zelda,Zero Suit Samus
Mega Man,-,0.135,-1,0.5,-0.5,0.025,-0.2,0.25,0.6,-0.25,1,0.158,-1,-,0,0.043,0.211,-0.2,0.714,-0.2,1,-0.217,0.714,0.455,1,0.429,0,1,-0.077,0.667,-,0.182,0.406,0.429,0.167,0.333,MM,0.875,1,-,0.091,0.2,0.6,0.04,0.25,0.273,0.3,-0.385,0,-0.125,-0.077,0.2,0,0.5,0.143,-0.385,0,0.333,-0.294,-1,-0.5,-,-0.167,0.6,0,-0.143,-0.455,0.143,1,0.333,-0.396,0.147,0,-0.167,0.333
Meta Knight,-0.5,0.231,1,0.5,-1,0.5,0.5,-,0.333,0.143,1,-0.412,-0.294,1,1,0.222,0.182,0.111,-0.333,0.75,-0.333,0.2,1,1,-,-0.143,0.765,1,-0.25,-0.2,0,0.455,0.302,0,0.143,0.375,-0.875,MM,-,-0.143,-,0.333,0.286,0.286,0.2,-1,-0.471,0.333,0.111,-0.5,-0.167,-0.5,0.226,0.5,0,0.333,0,-,0.2,2,0.556,-,0.571,0.6,-0.121,0.143,-1,0.333,0.333,0.333,0.091,-0.138,-0.429,-0.15,-0.111
Mewtwo,0.2,-1,-1,-1,0.222,-0.667,-,-,-1,0.2,-,-0.286,-,0,-1,-0.2,-0.5,-0.5,-,-0.111,1,-0.4,1,0.333,1,-0.5,-0.2,-0.6,-0.5,-0.5,0.375,-0.5,0.154,0,-0.875,0.25,-1,-,MM,-,0.143,-,-1,-0.6,-1,-0.25,-0.25,0.333,-0.158,0,-1,-1,-0.304,-0.6,0.25,-0.25,-1,-,0,-,-1,-1,0,-,-0.929,0,-1,-,0,-0.333,-0.308,-0.25,-0.5,0.333,-1
Mii Brawler,-,-0.056,1,1,-,-0.333,-,1,1,-1,-,1,-0.333,-,-,0.2,-1,0.667,-,-0.429,-1,-0.455,-0.25,-1,-,-1,0.2,-1,0.111,-1,-,0,-0.667,-,0.429,1,-,0.143,-,MM,0,-0.2,0.333,-0.2,-0.333,-1,0.2,-1,-0.333,0.5,-1,-1,-0.294,-0.5,-0.333,0.5,0,-,0.333,-,1,1,-1,-0.333,0.333,-0.2,-0.333,1,-1,-,0.143,-0.111,1,-0.091,-1
Mii Gunner,1,1,-,-0.429,-1,-0.167,0.333,0.333,-,0,0,0.091,-0.5,1,-1,0,1,0,1,0,0.429,-0.222,1,-0.333,1,-0.091,1,-,-0.2,0.6,-,0.5,0.6,0.667,1,-,-0.091,-,-0.143,0,MM,0.333,0,-0.429,0.5,-0.111,0.667,-0.5,0.2,0.556,0,-,0.429,0,-0.6,0,-,-,0.25,1,0.2,-,0.333,-1,-0.333,-1,0.5,-1,-,-,0.077,0.25,0.111,-0.143,0
Mii Swordfighter,-1,0,-,0.2,0.333,-0.25,0,-,-0.333,0.167,1,-0.294,-0.5,0.714,0,-0.5,0,-0.308,-,0.273,0.25,-0.08,0.6,0.6,1,0.111,0.111,-0.6,-0.087,-0.2,0.5,-0.714,0.136,0.333,-0.111,-1.333,-0.2,-0.333,-,0.2,-0.333,MM,0,-0.059,-0.143,-0.5,-0.412,-0.6,-1,-0.2,-1,1,-0.273,1,-0.429,0.067,0.4,-,0.31,-0.333,0.111,-,-1,-0.143,-0.158,-0.455,-0.4,0.714,-0.333,1,-0.116,-0.267,-0.714,-0.2,0
Mr. Game and Watch,0.143,0.4,1,-0.231,0.333,-0.053,-1,-,0.333,0.429,-0.2,0,-0.4,-1,0.714,-0.833,0.182,0.455,1,0,-0.2,0.368,0,0,1,0.176,0.333,0.857,-0.103,0.429,-1.25,-0.286,0.286,-0.5,0.25,0.625,-0.6,-0.286,1,-0.333,0,0,MM,-0.273,0.053,1,0.111,-0.727,0.667,0.2,0,-0.143,0.4,0.026,0,-0.714,-0.714,0,-0.286,-,-1,-1,0,-0.667,-0.2,0.2,-0.538,0.2,0.2,0.429,-0.088,-0.4,0.5,-1,0.429
Ness,-0.143,-0.021,-0.467,0.333,-0.111,-0.04,0.6,0.087,0.231,-0.13,1,0.081,-0.6,-0.273,0.3,0.471,0.365,0.3,1,0,0.053,0,0.167,0,1,-0.036,0.175,0.294,-0.046,-0.241,0.444,0.101,0.042,-0.103,0.086,0.6,-0.04,-0.286,0.6,0.2,0.429,0.059,0.273,MM,-0.045,-0.478,0.137,0,0.264,0.625,0.36,-0.437,0.011,0.017,-0.348,-0.031,-0.2,0.2,0.149,1,0.167,0.2,-0.056,-0.273,-0.093,-0.391,-0.05,-0.3,-0.273,0.417,0.025,-0.042,0.083,-0.556,0
Olimar,1,-0.556,1,-0.2,-0.333,-0.25,-,-1,0.333,0.6,0,-0.429,0.5,-0.667,1,0.083,1.083,-0.647,0.333,0.077,-0.273,0.382,-0.333,0,1,0.111,-0.556,0.333,-0.2,-1,-,0.333,-0.054,-1,-0.095,1,-0.25,-0.2,1,0.333,-0.5,0.143,-0.053,0.045,MM,-0.25,-0.167,0.333,0.132,-0.556,0.6,0.455,-0.378,-0.429,-0.3,0.2,-1,-,0,0,0,1,-0.333,0.5,-0.193,-1,-0.5,0.143,0.667,1,0.105,-0.097,0.111,-0.286,0.4
Pac Man,-1,0.308,-1,-0.333,0,0.478,0.429,1,0,0.091,-,-0.174,-0.143,-,0.5,0.286,0.212,0.8,1,0.2,1,0,1,-0.111,1,0.538,-0.2,1,0.385,0,-0.167,0.25,-0.069,1,0.8,1,-0.273,1,0.25,1,0.111,0.5,-1,0.478,0.25,MM,0.312,0.31,0.233,0.455,0.2,1,0.016,-0.292,0,-0.429,0.25,1,0.2,1,-0.077,-,0.25,-0.286,-0.045,-0.5,0.143,0.143,0.333,0.9,0.039,0.25,0.05,-0.444,0.312
Palutena,0.333,-0.163,-0.111,0.056,-0.034,-0.038,0.5,-0.333,-0.387,0.25,0.667,-0.128,-0.2,0.636,0.667,0.286,-0.032,-0.133,-0.429,0.038,0.115,-0.033,-0.2,0.1,0.111,0.179,-0.263,0,0.423,-0.167,0.667,-0.231,0,0.455,0.406,0.25,-0.3,0.471,0.25,-0.2,-0.667,0.412,-0.111,-0.137,0.167,-0.312,MM,0,0.087,-0.04,0.2,0.182,-0.01,-0.056,-0.062,-0.07,0.111,-0.429,0.255,-,0.108,-,-0.161,-1,-0.466,-0.074,0.226,0,0,0.111,0,-0.078,0,-0.06,0.2
Peach,-0.143,0.138,0.111,0.25,0.2,0.355,0.6,-0.2,0,0.3,1,0.182,-0.154,1,0.556,-0.222,0.029,0.206,0,0.194,0.333,-0.079,-0.231,0.8,-,0.023,0.538,0.2,0.121,-0.333,-0.333,0,0.356,-0.143,0,1,0.385,-0.333,-0.333,1,0.5,0.6,0.727,0,-0.333,-0.31,0,MM,0.061,0.577,1.1,-0.2,0.288,0.048,-0.625,0.474,1,1,0.333,0.333,0.444,-,0.385,0.143,-0.143,0.091,0.273,-0.391,0.6,0.6,0.095,0.053,0.107,0.138,0.231
Pichu,-0.231,0.125,-0.143,-0.097,-0.282,-0.283,0,-0.308,0.733,-0.067,0.667,0.067,0.158,-0.556,0.476,0.065,-0.05,0,0.143,-0.1,-0.432,-0.118,0.4,0.043,0,0.024,0.147,0.077,0.09,0.222,0.25,0.263,-0.095,-0.231,0.22,0.105,0,-0.111,0.158,0.333,-0.2,1,-0.667,-0.264,-0.132,-0.233,-0.087,-0.061,MM,0.132,0.071,-0.053,0.082,-0.077,-0.31,0,0.074,-0.429,0.233,-0.333,0.154,0,0.103,-0.2,-0.087,0.25,-0.109,-0.2,0.333,-0.091,-0.033,0.025,0.22,-0.493,-0.692
Pikachu,-0.091,0.417,0,0.6,0.167,0.2,0.5,-0.333,-0.4,-0.417,-1,0,-1,0.067,-0.111,0.111,0.286,-0.6,-1,-0.583,0.04,-0.018,0.5,1,-0.333,0.2,0.5,-0.714,0.071,-0.5,0.333,-0.043,0.373,0,0,0.667,0.125,0.5,0,-0.5,-0.556,0.2,-0.2,-0.625,0.556,-0.455,0.04,-0.577,-0.132,MM,-0.25,-0.333,-0.086,-0.619,0,-0.3,-1,-0.5,-0.077,-,0.333,1,-0.125,-1,-0.375,-0.286,-0.059,0.333,0.1,-1,-0.221,-0.077,0.125,-0.167,0.091
Piranha Plant,-,0,0.5,-0.091,0.111,-0.179,1,-0.4,-0.333,1,0.5,-0.433,0.333,0.143,0.429,-0.533,-0.269,-0.333,0,0.235,-0.294,-0.394,-0.294,0,-1,-0.2,0.667,0.75,0.12,0,0.2,-0.059,0.302,-1,-0.333,0,0.077,0.167,1,1,0,1,0,-0.36,-0.6,-0.2,-0.2,-1.1,-0.071,0.25,MM,-0.25,-0.118,-0.333,0.143,-0.368,0,-0.5,0.52,-1,-0.2,0,0.053,-1,-0.324,-0.167,0.111,-0.429,-0.455,0,-0.123,-0.138,0.071,-0.5,0
Pit,-1,-0.474,-0.2,-1,-0.571,0.5,-0.333,0.333,1,0,0.2,0,-0.6,1,0.429,-0.667,-0.091,0.5,0.5,0,-0.25,-0.043,-0.5,0,-,-0.714,1,1,0,-1,0.143,0.083,0.263,-1,0.333,-0.167,-0.2,0.5,1,1,-,-1,0.143,0.437,-0.455,-1,-0.182,0.2,0.053,0.333,0.25,MM,-0.158,-0.333,-0.429,-0.667,-,-1,-0.2,-,0,-,-0.667,-0.333,-0.143,-1,-1,0.111,0.333,-,-0.4,-0.667,0.077,-0.667,-1
Pokemon Trainer,-0.053,-0.283,-0.077,0.486,-0.105,0.098,0.579,0.333,0.048,-0.25,0.25,-0.03,-0.179,0.6,0.067,-0.129,0.081,0.212,-0.2,0.235,-0.133,0.037,-0.034,0.064,-0.333,0.063,-0.22,0.172,-0.158,-0.116,-0.111,0.068,0.203,0.176,0.106,0.263,0,-0.226,0.304,0.294,-0.429,0.273,-0.4,-0.011,0.378,-0.016,0.01,-0.288,-0.082,0.086,0.118,0.158,MM,-0.037,-0.2,0.283,-0.13,0.714,-0.099,-0.8,0.278,0,0.111,-0.304,-0.262,-0.107,-0.023,-0.098,-0.091,-0.048,-0.073,-0.119,-0.179,-0.205,-0.391
R.O.B.,0.333,-0.289,0,0.312,0.25,0.216,0.125,-0.4,-0.143,-0.067,-0.5,-0.029,0.409,1,0.227,0.036,0.171,0.36,1,0.083,0.368,0.298,0.467,0.286,0.778,-0.029,0.318,0,-0.045,-0.294,0.667,-0.115,0.154,0.077,-0.067,0.6,-0.5,-0.5,0.6,0.5,0,-1,-0.026,-0.017,0.429,0.292,0.056,-0.048,0.077,0.619,0.333,0.333,0.037,MM,0.04,-0.091,0.5,-,0.213,0,0.333,1,0.212,0.5,-0.099,0.257,0.437,0.083,0.045,0,0.298,0.088,0.094,-0.235,0
Richter,0,0.167,0,0.2,0.667,0.048,1,0,-1,0,0,0,0.333,-,0.909,0.529,0.3,0.273,1,0.28,0.556,0.151,0.667,0.5,0.6,0.176,-0.2,1,0.242,0.2,0.429,0.333,0.444,0.077,0.2,0.6,-0.143,0,-0.25,0.333,0.6,0.429,0,0.348,0.3,0,0.062,0.625,0.31,0,-0.143,0.429,0.2,-0.04,MM,0.25,-0.273,0,0.189,1,-0.25,0.6,-0.667,0.2,-0.073,0,0.333,0.636,1,0.333,0.179,0.037,-0.385,-0.346,0.333
Ridley,0.286,0.2,-0.2,0.5,0.375,0.154,0.6,-0.429,0.444,0.556,1,0.065,-0.059,-0.333,0.6,-0.053,0.208,0.182,0,0.208,0.167,-0.018,0.286,-0.6,1,-0.375,-1,-0.273,-0.137,-0.143,0.091,0.214,0.511,-0.538,0.636,0.444,0.385,-0.333,0.25,-0.5,0,-0.067,0.714,0.031,-0.2,0.429,0.07,-0.474,0,0.3,0.368,0.667,-0.283,0.091,-0.25,MM,-0.462,-1,0.353,0.333,-0.625,-,-0.071,-0.714,-0.379,-0.2,-0.286,0,0.5,0.333,0.115,0.022,-0.429,-0.444,-1
Robin,1,-0.286,-0.333,-0.333,0,-0.286,1,-1,0,0.5,0.2,-0.125,0,-,0,-0.208,-0.091,0.25,-1,-0.556,0.75,-0.125,0.333,-0.333,-1,-1,-0.6,1,0.556,-1,-,0,-0.321,1,-0.125,-1,0,0,1,0,-,-0.4,0.714,0.2,1,-0.25,-0.111,-1,-0.074,1,0,-,0.13,-0.5,0.273,0.462,MM,-,0.111,1,0.25,-0.333,-0.429,-1,-0.118,0,-0.333,0.143,-,1,-0.349,-0.6,0.4,0.091,-1
Rosalina,-,0.273,0,1,-0.714,-0.2,-,-,1,-0.333,-,1,-0.2,-,-,-,0.143,-1,-,0.2,1,0,1,-,-0.333,-0.143,0.5,-1,-0.091,-0.333,1,-0.667,-0.2,-1,-0.714,-1,-0.333,-,-,-,-,-,0,-0.2,-,-1,0.429,-1,0.429,0.5,0.5,1,-0.714,-,0,1,-,MM,-0.5,-,1,-,0.6,-1,0.714,-0.5,0.5,0,-,-1,0,0,-0.5,-,-
Roy,0,-0.196,0.143,-0.036,-0.158,0.268,0.286,-0.25,-0.4,-0.474,-0.333,-0.058,0.273,0.2,0.143,0.25,0.024,-0.212,-0.5,0,0,-0.266,0.222,0.45,0.5,-0.133,-0.042,0.636,-0.136,0,-0.15,-0.043,0.067,-0.308,0.25,0.143,0.294,-0.2,0,-0.333,-0.25,-0.31,0.286,-0.149,0,-0.2,-0.255,-0.333,-0.233,0.077,-0.52,0.2,0.099,-0.213,-0.189,-0.353,-0.111,0.5,MM,1,-0.059,0.667,-0.152,-0.25,-0.081,-0.278,-0.333,-0.091,-0.467,-0.2,0.083,-0.03,0.167,-0.373,-0.111
Ryu,-,-1,0,0.5,0.333,-1,-,-0.25,-0.333,0,-,-0.333,-,-,-1,0.5,0.333,-,1,0,-1,0,-1,-1,-,-0.111,-,-1,0,0.5,-,-,-1,-,0.333,-,1,-2,-,-,-1,0.333,-,-1,0,-1,-,-0.333,0.333,-,1,-,0.8,0,-1,-0.333,-1,-,-1,MM,-0.667,-,-,-,-0.182,-,-1,-,-,-0.5,-0.133,1,-0.25,-1,1
Samus,-1,-0.109,-1,0,-0.273,0.105,-0.375,0,0.857,0.333,-1,-0.174,-0.5,-0.25,-0.067,-0.05,0.381,-0.28,0.6,0.083,0.5,-0.125,0.5,1,0,-0.226,0,-0.273,0.25,-0.176,1.667,0.35,0.022,0.077,0.125,0.4,0.5,-0.556,1,-1,-0.2,-0.111,1,-0.167,0,0.077,-0.108,-0.444,-0.154,-0.333,0.2,0,-0.278,-0.333,0.25,0.625,-0.25,-1,0.059,0.667,MM,-1,-0.273,-,0.029,-0.5,1,-1,0.167,0.364,0.032,-0.385,0.364,0.182,-1
Sheik,-,-,1,0,1,-0.75,-0.2,-,-,-,-,-0.6,-1,-,-,-1,-0.333,-0.5,0.333,-1,-0.5,-0.6,-,-0.6,-,-,-1,-0.333,-1,-,1,-1,1,-1,-1,-1,-,-,1,-1,-,-,1,-0.2,-1,-,-,-,0,-1,0,-,0,-1,-0.6,-,0.333,-,-0.667,-,1,MM,-0.5,-1,-0.8,-,-,-,1,-,-0.4,-1,-1,0,-1
Shulk,-0.2,0.128,-,0.5,-0.091,0.135,0,1,-0.167,0.143,1,0.1,0.667,-,-0.2,0.263,-0.036,0.143,0.667,0.2,0.143,0.122,0.5,0.429,1,-0.5,0.1,0.333,0.081,0.667,0.556,-0.238,-0.258,0.286,-0.176,0.5,0.167,-0.571,0,1,-0.333,1,0,0.056,0.333,-0.25,0.161,-0.385,-0.103,0.125,-0.053,0.667,-0.111,-0.212,0.667,0.071,0.429,-0.6,0.152,-,0.273,0.5,MM,-0.778,-0.175,0.304,0,0.333,1,-0.5,0.1,0.262,-0.034,0.273,0.167
Simon,0.143,0.125,-,-0.333,0.6,0.222,-,-1,-,-0.2,-,-0.444,0.333,1,-0.5,0.2,-0.077,0,0.5,0.667,-,0.176,0,-1,-,0,1,1,0.333,0.2,-1,0.6,0.333,-0.5,0.167,-1,-0.6,-0.6,-,0.333,1,0.143,0.667,0.273,-0.5,0.286,1,-0.143,0.2,1,1,0.333,0.304,-0.5,-0.2,0.714,1,1,0.25,-,-,1,0.778,MM,0.353,0.2,-1,-0.429,1,0,0.104,0.286,-0.6,0.333,-0.5
Snake,0.842,-0.053,0.286,0.595,0.292,0.543,0,0.391,0.538,0.2,-0.2,0.153,0.429,0,-0.182,0.184,0.192,0.381,-1,0.163,0.217,0.176,0.385,0.647,0.333,0.231,0.093,0.385,0.338,0.088,-0.111,0.265,0.303,0.294,0.059,0.389,0,0.121,0.929,-0.333,0.333,0.158,0.2,0.093,0.193,0.045,0.466,0.143,0.087,0.375,0.324,0.143,0.262,0.099,0.073,0.379,0.118,-0.714,0.081,0.182,-0.029,0.8,0.175,-0.353,MM,0.339,0.294,0.071,0.393,-0.333,0.21,0.351,0.209,-0.013,-0.485
Sonic,-0.667,-0.308,0.2,0.333,0.294,-0.12,0.667,0.6,0.333,-0.6,-0.333,0.091,-0.5,-0.667,-0.2,-0.167,0,0.4,0.333,0.517,0.222,-0.292,-0.375,0.714,0.429,-0.31,-0.231,0,0.1,-0.429,0,0.235,0.294,0.077,0.231,-0.143,0.143,-0.143,0,0.2,1,0.455,-0.2,0.391,1,0.5,0.074,-0.091,-0.25,0.286,0.167,1,0.107,-0.257,0,0.2,0,0.5,0.278,-,0.5,-,-0.304,-0.2,-0.339,MM,-0.273,-0.25,-0.2,0.714,0.031,0.07,-0.048,-0.059,-0.233
Toon Link,-0.333,-0.455,0.143,0.143,0.778,-0.067,0.5,1,0.111,-0.091,-,-0.2,-0.375,0,0.5,0.333,0.25,0,1,0.032,0.077,-0.085,0,0.6,-,0.333,0.273,1,-0.118,0.143,0.714,-0.25,-0.081,0.333,-0.294,0.143,0.455,1,1,0.333,-0.5,0.4,0.538,0.05,0.5,-0.143,-0.226,-0.273,0.109,0.059,-0.111,1,0.023,-0.437,-0.333,0.286,0.333,-0.5,0.333,1,-1,-,0,1,-0.294,0.273,MM,0.5,0.143,-0.143,0.226,0.02,-0.111,-0.263,0.25
Villager,-,0.417,0.333,0.25,0.5,0.143,1,0.5,-0.75,-0.333,1,0.222,-1.167,0.5,-0.25,-1,0.4,-0.111,-,0.625,-0.25,0.357,0.176,0.385,-,-0.1,0.5,0.2,-0.263,0.667,0,-0.524,-0.111,0,0,0.2,-0.143,-0.333,-,-1,1,-0.714,-0.2,0.3,-0.143,-0.143,0,0.391,0.2,-0.333,0.429,-0.111,0.098,-0.083,-0.636,0,-0.143,0,0.091,-,1,-,-0.333,0.429,-0.071,0.25,-0.5,MM,1,-,0.231,0.294,-0.333,-0.273,0.111
Wario,0,0,-,0.167,-0.333,-0.143,1,0.333,-1.167,-1,1,-0.412,-0.636,-,0,0.333,0.2,0.385,-0.5,-0.091,0.111,-0.182,-0.333,-0.2,0.6,0,-1,-,0.125,0.273,1,-0.9,0.125,-0.5,0.5,0.429,-1,-0.333,0,1,-,0.333,-0.2,0.273,-0.667,-0.333,0,-0.6,-0.333,-0.1,0.455,-0.333,0.091,-0.045,-1,-0.5,-,-,0.467,-,-0.167,-1,-1,-1,-0.393,0.2,-0.143,-1,MM,-1,-0.385,-0.448,0,-0.412,-0.182
Wii Fit Trainer,-,0.2,-,0.333,0,-0.286,-,-1,-1,0.333,-1,-0.357,-0.556,1,-0.333,-0.25,-0.455,-0.333,1,-0.316,0,-0.167,-0.143,-0.429,1,-0.091,0.143,0.667,-0.333,-0.333,-0.333,0,-0.158,-,-0.6,1,-0.333,-0.333,0.333,-,-,-1,-0.429,-0.417,-1,-0.9,-0.111,-0.6,0.091,1,0,-,0.048,0,-0.333,-0.333,-1,1,0.2,0.5,-0.364,-,0.5,0,0.333,-0.714,0.143,-,1,MM,-1,0.364,-0.4,-0.111,1
Wolf,0.333,-0.171,0.053,0.027,-0.08,0.169,0.571,-0.44,-0.231,0.161,0,-0.344,-0.187,-0.062,0.308,0.09,0.01,0.081,0.375,0.141,0.102,-0.115,0.385,0.152,-0.25,-0.228,0.261,0,0.266,-0.419,0.143,-0.132,0.352,0.034,0.048,0.409,0.396,-0.091,0.308,-0.143,-0.077,0.116,0.088,-0.025,-0.105,-0.039,0,-0.095,0.033,0.221,0.123,0.4,0.073,-0.298,-0.179,-0.115,0.349,0,-0.083,0.133,-0.032,0.4,-0.1,-0.104,-0.21,-0.031,-0.226,-0.231,0.385,1,MM,0.027,0.029,-0.141,-0.257
Yoshi,0.714,-0.146,-0.111,0.185,0.417,-0.085,0,0,0.238,-0.55,0.2,-0.087,-0.071,0.429,0.269,0.098,0.396,-0.179,0.5,0.074,0.187,0.252,0.368,0.481,0,-0.06,0.282,0.25,-0.171,-0.143,-0.417,-0.122,0.144,-0.227,0.088,-0.067,-0.147,0.138,0.25,0.111,-0.25,0.267,0.4,0.042,0.097,-0.25,0.078,-0.053,-0.025,0.077,0.138,0.667,0.119,-0.088,-0.037,-0.022,0.6,0,0.03,-1,0.385,1,-0.262,-0.286,-0.351,-0.07,-0.02,-0.294,0.448,-0.364,-0.027,MM,0.171,0.02,-0.25
Young Link,0.5,-0.347,-0.455,-0.615,-0.214,0.179,0.333,1,0,-0.5,-1,-0.345,-0.3,-0.2,0.778,-0.225,-0.036,-0.143,1,0.154,0.375,-0.079,-0.2,-0.364,-0.667,-0.37,-0.167,0.333,-0.231,0.217,0.333,0.176,0.159,0.125,-0.2,0,0,0.429,0.5,-1,-0.111,0.714,-0.5,-0.083,-0.111,-0.05,0,-0.107,-0.22,-0.125,-0.071,-0.077,0.179,-0.094,0.385,0.429,-0.4,0.5,-0.167,0.25,-0.364,1,0.034,0.6,-0.209,0.048,0.111,0.333,0,0.4,-0.029,-0.171,MM,-0.227,-0.077
Zelda,1,0.143,-0.143,0,0.353,-0.212,0.556,0.8,-0.75,0.429,1,0.308,-0.476,-,0.455,-0.1,0.211,0.304,1,0.02,0,0.091,0.778,0.4,1,0.5,0.333,0,0.25,0.3,1,0.2,0.347,-0.185,0.538,-0.143,0.167,0.15,-0.333,0.091,0.143,0.2,1,0.556,0.286,0.444,0.06,-0.138,0.493,0.167,0.5,0.667,0.205,0.235,0.346,0.444,-0.091,-,0.373,1,-0.182,0,-0.273,-0.333,0.013,0.059,0.263,0.273,0.412,0.111,0.141,-0.02,0.227,MM,-0.353
Zero Suit Samus,0.75,0.051,0.5,0.091,0,0,1,-0.2,0,1,1,0.579,0.412,0,-,0.368,0.062,-0.429,1,0.278,0.071,0.29,-0.333,0.4,1,0.2,-0.2,-,0.053,1,-1.667,0.538,0.471,0.333,0,0,-0.333,0.111,1,1,0,0,-0.429,0,-0.4,-0.312,-0.2,-0.231,0.692,-0.091,0,1,0.391,0,-0.333,1,1,-,0.111,-1,1,1,-0.167,0.5,0.485,0.233,-0.25,-0.111,0.182,-1,0.257,0.25,0.077,0.353,MM